college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca,year
"School of Architecture and Planning, Anna University,Chennai",B.PLAN,186.0,178.0,178.0,177.0,167.5,,165.885,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AERONAUTICAL ENGINEERING,197.0,192.5,193.0,191.5,191.0,169.0,175.0,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.5,196.5,198.0,196.5,194.0,,188.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AUTOMOBILE ENGINEERING,191.0,189.5,187.0,188.0,179.0,,165.0,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING (SS),197.5,198.5,196.5,196.5,192.0,185.5,189.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING,200.0,198.0,196.5,199.0,195.0,195.0,189.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING,197.0,196.5,197.5,198.0,193.0,193.0,192.0,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND INSTRUMENTATION ENGINEERING,195.0,194.5,195.0,194.0,187.0,162.0,,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,196.5,197.0,197.0,191.0,181.5,189.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",INFORMATION TECHNOLOGY (SS),196.25,196.0,197.5,198.0,192.0,188.0,184.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",PRODUCTION ENGINEERING,188.0,182.5,183.5,185.5,179.5,,166.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ROBOTICS AND AUTOMATION (SS),194.5,195.5,194.5,196.0,186.5,,182.5,2021.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",RUBBER AND PLASTIC TECHNOLOGY,181.83,174.5,171.0,173.0,166.0,,145.5,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),170.0,148.0,156.0,167.5,150.5,142.5,146.5,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL ENGINEERING,143.5,98.0,86.0,88.0,119.5,111.0,,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),164.5,143.5,149.0,145.0,149.5,,143.5,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CHEMICAL ENGINEERING,153.5,112.5,94.0,116.5,122.5,132.5,147.0,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING,174.5,155.0,154.0,145.0,156.5,155.5,116.0,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL AND STRUCTUTRAL ENGINEERING,126.5,110.5,85.0,,95.5,,,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND COMMUNICATION ENGINEERING,166.0,151.5,147.0,141.5,143.5,129.0,,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRICAL AND ELECTRONICS ENGINEERING,148.0,96.0,125.5,119.5,120.0,,111.5,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND INSTRUMENTATION ENGINEERING,137.5,93.5,114.0,87.5,110.0,,124.0,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",INFORMATION TECHNOLOGY,163.5,144.5,152.0,145.5,143.5,146.0,145.5,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING,133.5,89.0,90.5,120.5,104.5,,,2021.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING (MANUFACTURING),121.5,84.0,83.0,92.0,95.0,,,2021.0
University College of Engineering Villupuram- Villupuram (Dist),COMPUTER SCIENCE AND ENGINEERING,182.5,164.5,168.0,167.5,153.5,149.0,125.0,2021.0
University College of Engineering Villupuram- Villupuram (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,169.0,151.0,150.0,150.5,130.5,100.5,138.0,2021.0
University College of Engineering Villupuram- Villupuram (Dist),INFORMATION TECHNOLOGY,173.0,156.5,157.315,152.5,148.0,,150.0,2021.0
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING,137.0,92.5,98.5,122.0,104.0,,,2021.0
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),100.0,,87.5,,98.5,,,2021.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING,127.5,89.5,90.5,,106.5,,102.0,2021.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",COMPUTER SCIENCE AND ENGINEERING,171.5,157.0,158.0,162.5,146.0,,96.0,2021.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,165.0,142.0,146.0,154.5,125.5,,129.0,2021.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",INFORMATION TECHNOLOGY,170.5,151.5,154.5,143.0,130.0,120.0,106.5,2021.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING (TAMIL MEDIUM),143.5,109.5,84.5,,112.5,,130.0,2021.0
University College of Engineering- Arni- Thiruvannamalai (Dist),COMPUTER SCIENCE AND ENGINEERING,171.0,160.0,160.0,144.0,129.5,,133.5,2021.0
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,158.5,144.0,148.5,106.0,125.0,,90.5,2021.0
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRICAL AND ELECTRONICS ENGINEERING,144.0,134.5,120.5,139.5,88.0,,,2021.0
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING,138.5,115.0,94.0,,79.0,,,2021.0
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),86.5,,,,,,,2021.0
University College of Engineering- Kanchipuram,COMPUTER SCIENCE AND ENGINEERING,179.0,167.0,174.0,167.5,160.0,133.0,126.5,2021.0
University College of Engineering- Kanchipuram,ELECTRONICS AND COMMUNICATION ENGINEERING,170.5,157.5,157.0,160.5,130.5,,98.5,2021.0
University College of Engineering- Kanchipuram,ELECTRICAL AND ELECTRONICS ENGINEERING,156.5,138.5,141.0,149.5,126.0,,118.0,2021.0
University College of Engineering- Kanchipuram,MECHANICAL ENGINEERING,139.5,121.0,104.0,,114.5,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,153.5,117.5,109.0,149.5,126.0,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),148.5,101.5,120.5,144.5,106.5,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,135.5,99.0,112.0,135.0,,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,147.0,88.0,97.5,144.0,129.5,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,137.5,95.0,100.0,136.0,,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,120.0,102.5,,,,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,141.5,106.0,129.5,137.0,86.0,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",MECHANICAL ENGINEERING,106.5,,,,,,,2021.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),138.5,105.5,127.0,137.0,108.5,,,2021.0
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",COMPUTER SCIENCE AND ENGINEERING,104.0,,,,,,,2021.0
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",ELECTRONICS AND COMMUNICATION ENGINEERING,132.5,,,,,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",AERONAUTICAL ENGINEERING,124.0,86.5,,,94.0,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),137.5,106.0,103.0,,105.5,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,109.5,,101.5,,96.5,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER AND COMMUNICATION ENGINEERING,106.0,,,,,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,130.5,104.0,114.5,113.0,87.5,,93.5,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,134.5,102.0,97.5,,93.0,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,79.5,,,,,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND INSTRUMENTATION ENGINEERING,101.0,,,,87.0,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,120.5,90.5,84.0,115.5,106.5,,101.5,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,86.5,,,,,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ROBOTICS AND AUTOMATION,90.5,,,,,,,2021.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",TEXTILE TECHNOLOGY,121.0,,,,,,,2021.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,86.0,,,,82.0,,,2021.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,104.5,,,,,,,2021.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",FOOD TECHNOLOGY,142.5,,,,,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145.0,131.5,130.5,115.5,98.0,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),138.5,123.5,116.0,102.5,92.0,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,BIO TECHNOLOGY,104.5,,,,,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND BUSSINESS SYSTEM,143.5,117.5,125.0,,86.0,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING,153.0,135.0,135.0,119.5,104.0,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRONICS AND COMMUNICATION ENGINEERING,145.0,126.0,128.5,121.5,118.5,,83.5,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRICAL AND ELECTRONICS ENGINEERING,93.0,92.0,89.0,,,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,INFORMATION TECHNOLOGY,145.0,136.5,138.0,,110.5,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,MECHANICAL ENGINEERING,91.0,,,,,,,2021.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),140.0,126.0,119.0,122.5,116.5,,,2021.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,177.5,172.0,166.0,170.5,139.0,131.5,,2021.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,176.0,172.5,166.275,,138.5,,,2021.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,180.0,177.5,173.0,168.5,150.5,,118.5,2021.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,176.5,174.5,167.0,163.5,143.5,,110.5,2021.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,176.5,172.5,169.0,167.0,138.0,,114.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185.0,182.0,179.5,170.0,153.5,,131.5,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,181.5,179.0,175.5,168.0,156.5,,119.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND DESIGN,178.5,174.0,173.5,,138.0,,,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",CIVIL ENGINEERING,159.0,150.5,145.0,118.5,140.0,,,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,188.5,185.0,183.5,176.5,167.0,,130.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY),181.5,176.5,170.0,175.5,146.5,,99.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,183.5,182.5,176.5,175.5,162.5,139.5,165.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,180.5,171.5,169.5,174.5,141.5,,,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),177.5,170.0,171.0,165.5,140.5,,,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,185.0,181.0,178.5,176.5,164.5,106.5,124.0,2021.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",MECHANICAL ENGINEERING,171.0,162.5,165.5,145.0,143.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,162.0,149.0,151.5,146.5,124.5,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),157.0,143.5,146.0,,118.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,149.5,142.0,143.5,134.5,126.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",CIVIL ENGINEERING,130.5,102.0,117.5,,93.5,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,160.5,149.5,148.0,141.5,123.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,153.5,144.5,143.5,144.5,114.5,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,137.0,85.0,111.5,,102.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),139.0,114.0,119.5,138.5,104.0,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,157.0,144.0,145.0,135.0,121.5,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,121.5,94.0,109.0,,94.5,,,2021.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),154.5,146.5,145.0,136.0,115.5,,153.0,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,119.5,116.0,108.5,,92.5,,,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),101.5,,,,,,,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,125.5,108.0,110.0,,111.5,,,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,97.0,,,,,,,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,98.0,,,,,,,2021.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),88.5,,,,,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,154.5,150.5,145.5,149.5,114.5,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),168.0,149.5,147.0,,104.5,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",CIVIL ENGINEERING,105.0,,,,,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,173.5,155.5,158.0,156.0,108.0,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,147.0,105.5,92.5,128.0,,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,127.5,,,,,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",INFORMATION TECHNOLOGY,158.0,155.5,149.5,149.0,97.5,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",MECHANICAL ENGINEERING,104.0,,,,,,,2021.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),152.0,145.0,143.0,118.0,113.5,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,166.0,156.5,155.0,159.5,143.0,,111.0,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",BIO MEDICAL ENGINEERING,148.0,127.0,102.0,142.0,120.5,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,163.5,155.0,149.0,149.5,120.5,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,168.0,161.0,161.5,160.5,135.0,122.0,123.5,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,164.5,156.5,154.5,160.0,140.0,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,151.0,143.5,142.5,142.5,112.5,,99.0,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,165.5,157.0,154.5,151.0,128.0,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,139.5,118.5,115.0,137.5,116.5,,,2021.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),164.5,155.5,153.5,163.5,128.5,,109.0,2021.0
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,167.0,161.5,158.5,162.5,132.5,156.5,,2021.0
