college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca
University College of Engineering Villupuram- Villupuram (Dist),COMPUTER SCIENCE AND ENGINEERING,181.5,165.5,168.5,166.5,153.0,149.5,125.5
University College of Engineering Villupuram- Villupuram (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,168.0,151.5,151.0,149.5,131.0,99.5,137.0
University College of Engineering Villupuram- Villupuram (Dist),INFORMATION TECHNOLOGY,172.5,155.5,157.815,153.0,147.5,,149.0
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING,137.5,92.0,99.0,122.5,103.0,,
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),100.5,,87.0,,97.5,,
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING,126.5,89.0,90.0,,106.0,,102.5
"University College of Engineering, Tindivanam, Villupuram (Dist)",COMPUTER SCIENCE AND ENGINEERING,172.5,157.5,159.0,161.5,146.5,,97.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,164.0,142.5,147.0,154.0,126.0,,128.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",INFORMATION TECHNOLOGY,171.0,152.5,155.5,144.0,129.0,121.0,107.5
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING (TAMIL MEDIUM),142.5,109.0,84.0,,113.0,,129.5
University College of Engineering- Arni- Thiruvannamalai (Dist),COMPUTER SCIENCE AND ENGINEERING,170.0,159.5,159.0,145.0,129.0,,132.5
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,158.0,143.0,147.5,106.5,125.5,,91.5
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRICAL AND ELECTRONICS ENGINEERING,144.5,133.5,120.0,140.0,87.5,,
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING,139.0,114.5,95.0,,79.5,,
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),87.5,,,,,,
University College of Engineering- Kanchipuram,COMPUTER SCIENCE AND ENGINEERING,178.5,166.0,173.0,167.0,160.5,132.0,127.5
University College of Engineering- Kanchipuram,ELECTRONICS AND COMMUNICATION ENGINEERING,169.5,157.0,157.5,161.0,131.5,,97.5
University College of Engineering- Kanchipuram,ELECTRICAL AND ELECTRONICS ENGINEERING,156.0,139.5,142.0,149.0,125.0,,117.0
University College of Engineering- Kanchipuram,MECHANICAL ENGINEERING,139.0,121.5,103.0,,113.5,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,152.5,117.0,109.5,150.5,125.0,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),147.5,100.5,120.0,145.5,105.5,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,134.5,98.0,111.0,134.5,,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,148.0,89.0,96.5,145.0,130.0,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,138.0,94.5,100.5,137.0,,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,119.5,101.5,,,,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,142.5,105.5,130.5,137.5,87.0,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",MECHANICAL ENGINEERING,105.5,,,,,,
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),137.5,106.0,126.0,136.0,108.0,,
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",COMPUTER SCIENCE AND ENGINEERING,103.5,,,,,,
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",ELECTRONICS AND COMMUNICATION ENGINEERING,131.5,,,,,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",AERONAUTICAL ENGINEERING,123.5,87.5,,,93.0,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),138.5,105.0,103.5,,106.0,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,108.5,,101.0,,95.5,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER AND COMMUNICATION ENGINEERING,107.0,,,,,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,130.0,104.5,114.0,112.0,87.0,,94.5
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,133.5,103.0,96.5,,93.5,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,80.0,,,,,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND INSTRUMENTATION ENGINEERING,101.5,,,,87.5,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,121.5,90.0,83.5,116.0,107.0,,101.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,85.5,,,,,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ROBOTICS AND AUTOMATION,91.0,,,,,,
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",TEXTILE TECHNOLOGY,120.5,,,,,,
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,85.5,,,,83.0,,
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,103.5,,,,,,
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",FOOD TECHNOLOGY,143.0,,,,,,
Prathyusha Institute of Technology and Management - Tiruvallur,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.5,132.5,130.0,115.0,98.5,,
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),138.0,124.5,115.5,102.0,92.5,,
Prathyusha Institute of Technology and Management - Tiruvallur,BIO TECHNOLOGY,105.5,,,,,,
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND BUSSINESS SYSTEM,143.0,118.0,126.0,,87.0,,
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING,152.0,136.0,134.5,120.5,103.0,,
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRONICS AND COMMUNICATION ENGINEERING,146.0,125.5,129.0,121.0,118.0,,82.5
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRICAL AND ELECTRONICS ENGINEERING,93.5,91.5,88.0,,,,
Prathyusha Institute of Technology and Management - Tiruvallur,INFORMATION TECHNOLOGY,144.5,137.0,137.5,,111.0,,
Prathyusha Institute of Technology and Management - Tiruvallur,MECHANICAL ENGINEERING,90.5,,,,,,
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),141.0,127.0,118.0,123.5,116.0,,
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,177.0,172.5,167.0,171.5,140.0,132.0,
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,175.5,173.0,165.275,,137.5,,
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,181.0,176.5,174.0,167.5,150.0,,118.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,177.0,174.0,167.5,162.5,143.0,,111.5
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,177.5,173.0,170.0,166.5,139.0,,113.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185.5,181.5,180.0,171.0,152.5,,130.5
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,182.5,179.5,175.0,168.5,157.0,,119.5
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND DESIGN,178.0,175.0,174.0,,139.0,,
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",CIVIL ENGINEERING,159.5,151.5,144.5,118.0,141.0,,
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,188.0,184.0,183.0,177.5,167.5,,129.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY),180.5,176.0,170.5,174.5,145.5,,98.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,184.5,181.5,175.5,176.0,162.0,139.0,165.5
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,179.5,171.0,170.5,173.5,140.5,,
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),177.0,171.0,170.0,166.0,139.5,,
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,184.5,182.0,177.5,177.0,163.5,106.0,125.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",MECHANICAL ENGINEERING,172.0,163.0,166.0,145.5,142.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,161.0,148.5,150.5,145.5,123.5,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),156.0,144.5,145.5,,118.5,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,150.5,143.0,142.5,134.0,125.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",CIVIL ENGINEERING,130.0,102.5,118.0,,94.5,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,160.0,150.5,148.5,140.5,122.5,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,154.0,144.0,142.5,145.5,113.5,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,136.5,85.5,111.0,,101.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),140.0,113.0,120.0,138.0,105.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,156.5,145.0,144.5,136.0,122.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,122.0,93.5,109.5,,95.0,,
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),154.0,145.5,146.0,137.0,116.5,,154.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120.0,117.0,109.0,,91.5,,
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),101.0,,,,,,
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,126.0,107.0,109.5,,110.5,,
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,96.5,,,,,,
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,99.0,,,,,,
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),89.0,,,,,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,154.0,149.5,145.0,148.5,113.5,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),169.0,150.0,148.0,,104.0,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",CIVIL ENGINEERING,106.0,,,,,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,172.5,156.0,159.0,155.5,107.0,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,146.5,105.0,91.5,128.5,,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,126.5,,,,,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",INFORMATION TECHNOLOGY,159.0,154.5,148.5,150.0,98.0,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",MECHANICAL ENGINEERING,103.5,,,,,,
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),151.0,144.0,142.0,117.0,114.0,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165.0,157.5,154.5,160.0,142.5,,110.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",BIO MEDICAL ENGINEERING,148.5,126.5,102.5,141.5,119.5,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,162.5,154.5,149.5,149.0,119.5,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,167.5,160.5,161.0,160.0,136.0,121.5,124.5
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,165.0,156.0,153.5,161.0,141.0,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,151.5,144.5,141.5,142.0,113.5,,99.5
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,165.0,156.5,155.0,150.0,127.5,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,140.0,117.5,114.0,136.5,115.5,,
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),164.0,156.5,154.5,162.5,128.0,,108.0
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,167.5,161.0,159.0,161.5,131.5,155.5,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",AUTOMOBILE ENGINEERING,158.5,124.5,98.0,,99.0,,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",CIVIL ENGINEERING,159.0,131.0,114.5,115.5,,88.0,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,173.0,163.5,159.0,161.5,132.0,94.5,118.0
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,166.0,158.0,154.5,153.5,118.5,,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,162.5,149.0,151.0,159.0,120.5,,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ELECTRONICS AND INSTRUMENTATION ENGINEERING,155.5,145.5,146.5,142.5,103.0,,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,168.0,160.0,157.0,163.5,128.0,112.5,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,149.0,135.0,128.5,116.0,105.5,,
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),166.0,159.0,155.5,160.0,128.5,,
Sri Venkateswara Institute of Science and Technology -Tiruvallur (Dist),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,89.0,,,,,,
