college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca,year
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PHARMACEUTICAL TECHNOLOGY (SS),186.0,177.5,178.0,178.5,165.5,,134.5,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),185.0,177.0,180.5,179.5,173.5,163.0,161.5,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",TEXTILE TECHNOLOGY,175.0,163.5,159.5,155.5,165.0,,119.5,2022.0
"School of Architecture and Planning, Anna University,Chennai",B.PLAN,187.5,178.5,180.0,177.0,167.5,,165.885,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AERONAUTICAL ENGINEERING,197.0,193.0,193.5,189.5,192.5,167.0,174.5,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.5,198.0,196.5,196.5,194.0,,189.0,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AUTOMOBILE ENGINEERING,191.0,189.5,187.0,190.0,180.0,,165.0,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING (SS),199.0,197.0,197.5,196.0,193.5,185.5,191.5,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING,200.0,199.5,198.0,199.0,196.5,193.0,189.0,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING,197.5,196.5,196.0,198.0,193.0,194.0,191.5,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.5,196.0,195.0,195.0,186.5,162.5,,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,196.5,195.5,195.5,191.5,183.5,189.5,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",INFORMATION TECHNOLOGY (SS),196.75,196.0,195.5,197.5,190.5,189.0,186.5,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",PRODUCTION ENGINEERING,189.5,182.5,184.0,187.0,179.0,,166.0,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ROBOTICS AND AUTOMATION (SS),195.0,193.5,193.0,196.0,186.0,,182.0,2022.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",RUBBER AND PLASTIC TECHNOLOGY,180.33,173.0,170.5,171.5,164.0,,145.0,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),171.5,149.0,154.5,168.0,149.0,142.0,147.0,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL ENGINEERING,143.0,98.5,88.0,88.5,121.0,112.5,,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),162.5,142.0,148.5,145.0,151.0,,143.5,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CHEMICAL ENGINEERING,153.0,110.5,92.5,115.0,122.5,131.5,148.0,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING,175.0,156.5,154.0,144.5,158.0,156.5,115.0,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL AND STRUCTUTRAL ENGINEERING,126.0,110.5,83.5,,95.5,,,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND COMMUNICATION ENGINEERING,166.5,150.0,147.0,140.0,142.0,130.5,,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRICAL AND ELECTRONICS ENGINEERING,149.0,94.0,126.0,120.0,121.5,,111.5,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND INSTRUMENTATION ENGINEERING,138.0,95.0,114.0,87.5,110.5,,126.0,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",INFORMATION TECHNOLOGY,165.0,144.5,151.5,147.0,143.5,147.5,145.5,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING,134.0,90.5,92.0,122.0,103.0,,,2022.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING (MANUFACTURING),123.5,85.5,84.5,94.0,97.0,,,2022.0
University College of Engineering Villupuram- Villupuram (Dist),COMPUTER SCIENCE AND ENGINEERING,182.5,166.0,168.0,167.5,152.0,150.5,125.0,2022.0
University College of Engineering Villupuram- Villupuram (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,169.0,150.5,151.5,149.0,131.5,100.5,136.5,2022.0
University College of Engineering Villupuram- Villupuram (Dist),INFORMATION TECHNOLOGY,173.0,154.5,156.815,153.5,146.5,,148.0,2022.0
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING,136.5,91.5,100.0,123.0,102.5,,,2022.0
University College of Engineering Villupuram- Villupuram (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),99.5,,86.0,,98.5,,,2022.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING,127.0,88.5,90.5,,105.5,,103.0,2022.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",COMPUTER SCIENCE AND ENGINEERING,173.0,158.5,159.5,162.5,146.0,,96.0,2022.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,165.0,143.0,146.5,153.5,127.0,,129.0,2022.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",INFORMATION TECHNOLOGY,170.0,153.5,154.5,144.5,128.0,121.5,106.5,2022.0
"University College of Engineering, Tindivanam, Villupuram (Dist)",CIVIL ENGINEERING (TAMIL MEDIUM),143.5,108.5,83.0,,112.0,,128.5,2022.0
University College of Engineering- Arni- Thiruvannamalai (Dist),COMPUTER SCIENCE AND ENGINEERING,170.5,160.5,158.5,145.5,128.0,,133.5,2022.0
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,157.5,144.0,147.0,106.0,124.5,,92.0,2022.0
University College of Engineering- Arni- Thiruvannamalai (Dist),ELECTRICAL AND ELECTRONICS ENGINEERING,145.0,132.5,119.5,139.0,88.0,,,2022.0
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING,139.5,115.5,95.5,,80.5,,,2022.0
University College of Engineering- Arni- Thiruvannamalai (Dist),MECHANICAL ENGINEERING (TAMIL MEDIUM),87.0,,,,,,,2022.0
University College of Engineering- Kanchipuram,COMPUTER SCIENCE AND ENGINEERING,179.5,165.0,172.0,166.5,159.5,131.0,127.0,2022.0
University College of Engineering- Kanchipuram,ELECTRONICS AND COMMUNICATION ENGINEERING,168.5,156.5,157.0,160.0,132.0,,98.0,2022.0
University College of Engineering- Kanchipuram,ELECTRICAL AND ELECTRONICS ENGINEERING,155.0,140.5,141.5,148.0,125.5,,117.5,2022.0
University College of Engineering- Kanchipuram,MECHANICAL ENGINEERING,138.5,120.5,102.5,,113.0,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,152.0,116.5,110.0,149.5,126.0,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),148.0,100.0,119.0,144.5,106.0,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,135.5,98.5,111.5,134.0,,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,149.0,89.5,97.5,146.0,129.5,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,137.5,94.0,101.5,136.5,,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,120.5,100.5,,,,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,141.5,104.5,130.0,138.5,88.0,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",MECHANICAL ENGINEERING,104.5,,,,,,,2022.0
"Aalim Muhammed Salegh College of Engineering-Avadi,Chennai[Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),136.5,105.0,127.0,135.0,108.5,,,2022.0
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",COMPUTER SCIENCE AND ENGINEERING,102.5,,,,,,,2022.0
"Bhajarang Engineering College Near Avadi, Ayathur Village, Veppampattu (Rs) Thiruvallur Taluk ",ELECTRONICS AND COMMUNICATION ENGINEERING,130.5,,,,,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",AERONAUTICAL ENGINEERING,123.0,88.5,,,92.5,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),139.0,104.5,104.0,,107.0,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,108.0,,102.0,,94.5,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER AND COMMUNICATION ENGINEERING,107.5,,,,,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,129.5,105.0,113.5,112.5,88.0,,93.5,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,134.5,104.0,97.0,,93.0,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,80.5,,,,,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND INSTRUMENTATION ENGINEERING,100.5,,,,87.0,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,122.0,89.0,82.5,115.0,106.0,,100.0,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,84.5,,,,,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",ROBOTICS AND AUTOMATION,90.0,,,,,,,2022.0
"Jaya Engineering College - Poonamallee, Chennai [Tiruvallur (Dist)]",TEXTILE TECHNOLOGY,119.5,,,,,,,2022.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,85.0,,,,82.5,,,2022.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,104.0,,,,,,,2022.0
"Lakshmi Chand Rajani College of Engineering and Technology - Kanchipadi, Tiruvallur (Dist)",FOOD TECHNOLOGY,143.5,,,,,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,143.5,131.5,131.0,114.5,99.0,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),137.5,125.0,116.5,101.0,93.0,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,BIO TECHNOLOGY,105.0,,,,,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND BUSSINESS SYSTEM,142.0,117.0,127.0,,86.0,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING,151.0,135.5,135.5,121.0,103.5,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRONICS AND COMMUNICATION ENGINEERING,146.5,126.5,128.5,120.0,118.5,,81.5,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,ELECTRICAL AND ELECTRONICS ENGINEERING,94.0,91.0,87.0,,,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,INFORMATION TECHNOLOGY,145.0,136.5,137.0,,110.0,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,MECHANICAL ENGINEERING,89.5,,,,,,,2022.0
Prathyusha Institute of Technology and Management - Tiruvallur,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),140.5,126.5,118.5,123.0,117.0,,,2022.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,176.5,173.5,166.0,172.0,140.5,131.5,,2022.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,176.0,172.5,166.275,,137.0,,,2022.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,182.0,177.0,173.5,168.0,151.0,,118.5,2022.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,178.0,174.5,167.0,162.0,142.5,,110.5,2022.0
"R.M.D Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,178.0,172.5,169.5,167.5,138.0,,112.5,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,184.5,180.5,179.0,172.0,152.0,,129.5,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND BUSSINESS SYSTEM,182.0,180.0,174.0,169.5,156.5,,119.0,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND DESIGN,178.5,174.5,173.0,,139.5,,,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",CIVIL ENGINEERING,159.0,151.0,143.5,118.5,142.0,,,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,187.0,183.0,183.5,178.0,168.5,,128.0,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY),181.0,175.0,169.5,174.0,145.0,,99.0,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,185.5,181.0,176.5,175.5,161.0,138.0,166.5,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,179.0,170.0,169.5,173.0,139.5,,,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),176.5,171.5,171.0,166.5,140.0,,,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",INFORMATION TECHNOLOGY,183.5,183.0,176.5,178.0,162.5,105.0,124.5,2022.0
"R.M.K Engineering College - Gummidpoondi, Thiruvallur (Dist)",MECHANICAL ENGINEERING,173.0,164.0,165.0,144.5,141.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.5,148.0,151.5,146.0,124.0,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),156.5,144.0,144.5,,119.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,151.0,142.0,142.0,135.0,124.0,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",CIVIL ENGINEERING,129.0,103.0,118.5,,95.0,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,159.0,149.5,147.5,141.5,123.0,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,153.5,144.5,141.5,144.5,112.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,135.5,86.5,111.5,,102.0,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),139.5,114.0,121.0,137.5,105.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,155.5,146.0,143.5,136.5,121.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,123.0,92.5,110.5,,95.5,,,2022.0
"S.A Engineering College - Poonamallee, ChennaiÃ‚ [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),153.0,145.0,146.5,137.5,116.0,,153.0,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,119.0,118.0,109.5,,90.5,,,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),100.5,,,,,,,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,125.5,106.0,110.0,,110.0,,,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,96.0,,,,,,,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,98.5,,,,,,,2022.0
"Sri Ram Engineering College - Perumalpattu, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),88.0,,,,,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,154.5,149.0,144.5,149.0,114.0,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),168.0,149.5,147.0,,103.5,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",CIVIL ENGINEERING,105.0,,,,,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING,173.0,157.0,158.5,156.5,106.5,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,147.0,104.0,91.0,127.5,,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,127.5,,,,,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",INFORMATION TECHNOLOGY,159.5,155.5,149.0,149.5,97.0,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",MECHANICAL ENGINEERING,103.0,,,,,,,2022.0
"Sri Venkateswara College of engineering and Technology - Thirupachur, Tiruvallur (Dist)",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),150.0,143.0,142.5,117.5,113.0,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,164.5,157.0,153.5,159.5,142.0,,111.0,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",BIO MEDICAL ENGINEERING,147.5,126.0,102.0,142.5,120.0,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,163.0,153.5,149.0,150.0,119.0,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING,168.5,159.5,161.5,159.0,136.5,121.0,125.5,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,166.0,155.0,152.5,160.5,140.0,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,150.5,144.0,141.0,142.5,113.0,,98.5,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",INFORMATION TECHNOLOGY,164.0,155.5,154.5,150.5,128.5,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",MECHANICAL ENGINEERING,139.5,116.5,113.0,136.0,116.5,,,2022.0
"Vel Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College - Avadi, Chennai [Tiruvallur (Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),164.5,157.5,153.5,163.5,129.0,,108.5,2022.0
"Velammal Engineering College - Ambattur,Chennai [Tiruvallur (Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,167.0,160.0,160.0,161.0,132.0,155.0,,2022.0
